	B.I	BY.I	B.C	BY.C	B.C	B.I	BY.I	BY.C	BY.C	B.C	BY.I	B.I	B.I	BY.I	BY.C	B.C
ILMN_1255323	244.12235625	300.13343125	253.8598	215.532425	300.83779375	287.144725	314.3022625	217.59455	225.768425	267.27683125	295.67068125	266.54350625	342.17348125	233.70659375	254.36886875	259.10294375
ILMN_2878021	336.38178125	293.459625	296.50191875	311.04498125	325.01405625	282.30319375	316.35359375	326.28495625	381.63321875	287.144725	330.25861875	306.2683	389.59186875	428.86770625	394.9682625	267.27683125
ILMN_1256608	92.762578125	110.410105	114.97474375	123.29315	104.776445	104.4697725	110.701926875	141.5911125	132.896825	103.8220475	169.78939375	103.479665625	89.948736875	162.286325	136.4538875	105.8060175
ILMN_2655144	1294.65333125	1217.59461875	1031.5182875	980.6937	1101.2866	1447.2469375	1389.53755625	943.18929375	964.61938125	1086.60641875	1161.1970625	1320.76196875	1385.99768125	1262.084325	1011.060025	1011.060025
ILMN_3107156	3216.0641875	3114.975	3397.958	3953.748625	2963.303625	3074.407375	3134.3626875	3534.9343125	3770.3874375	3186.193375	3480.6066875	3307.411375	2747.872	3463.9809375	3672.7575	2710.1726875
ILMN_2645295	338.01579375	342.17348125	409.6476375	406.25033125	394.9682625	348.55784375	382.95286875	399.316725	349.856425	407.82223125	339.5567875	308.03741875	336.38178125	352.044	414.16425625	348.09076875
ILMN_1377921	23872.526875	23320.495625	25477.855	23872.526875	27148.123125	23320.495625	23320.495625	23872.526875	23320.495625	26401.904375	22662.46875	20822.085625	23320.495625	23872.526875	23872.526875	23872.526875
ILMN_2594644	257.3934125	251.9778875	250.2519625	241.5009	240.04690625	249.77924375	227.4998625	249.77924375	223.62086875	237.7202375	254.10841875	289.4902375	257.1474375	265.53608125	237.210825	225.11594375
ILMN_1234516	613.71071875	668.6408375	578.27779375	612.4552625	678.67405625	647.28489375	642.53469375	612.4552625	594.5953875	567.74288125	700.53440625	613.71071875	630.68256875	667.346975	646.166675	610.22988125
ILMN_1247156	369.0737	147.39860625	134.32206875	127.62435625	157.56325625	157.216325	129.30451875	129.10061875	133.76694375	129.64690625	139.53805	132.4016625	141.3552625	128.5330625	129.8790875	128.44940625
ILMN_2943319	1919.0003125	1901.7284375	1741.11475	1988.0516875	1751.0855	1747.868375	1901.7284375	1981.51975	2022.208	1778.81175	1895.11975	1691.932625	1832.8898125	1988.0516875	2033.06075	1745.095625
ILMN_1236123	334.0526875	349.2293625	318.03841875	293.459625	341.61043125	332.51471875	355.19934375	268.257725	307.59543125	322.15643125	359.99755625	319.296625	366.8749875	350.950725	292.0348375	284.88960625
ILMN_2762514	1200.59594375	1111.68751875	1217.59461875	1008.09605625	1252.1733875	1203.07131875	1006.592375	1001.36695	1188.904225	1151.43849375	1004.4496375	1167.6394625	1172.722225	987.84588125	919.02419375	1191.72529375
ILMN_1216382	292.4938	267.6644625	263.31391875	336.88030625	262.94540625	308.76860625	317.6047375	341.124375	293.459625	257.63335	306.74313125	341.61043125	308.76860625	306.74313125	313.732625	273.60645
ILMN_2980663	2560.1100625	3216.0641875	3292.12425	4293.4258125	3232.3765	3343.45	3114.975	4436.122	4315.6864375	3672.7575	3232.3765	3049.8525625	3166.4545	3808.8565	4410.4075	3757.6965625
ILMN_2759088	150.8607	131.3446625	140.504525	164.19486875	137.3024375	160.77475625	128.92178125	137.59983125	141.90628125	138.60301875	127.80019375	155.81645625	173.37554375	133.379225	139.7600375	129.64690625
ILMN_3162184	427.6186125	460.56375625	393.7152125	423.94420625	398.285625	427.12645	460.98259375	355.68825625	483.86240625	396.1385875	483.86240625	391.4559875	448.20770625	461.81859375	378.12289375	428.86770625
ILMN_1213645	167.33055625	196.029325	168.3561625	177.32429375	184.75475625	184.88224375	235.43113125	196.029325	226.39001875	204.6013	211.57503125	178.14129375	184.27898125	186.44199375	200.56650625	206.84325
ILMN_1237234	646.166675	620.669025	687.17316875	724.54374375	633.27214375	588.53715	572.9692625	752.23520625	685.93454375	754.62749375	629.7449375	627.058775	564.21346875	612.4552625	721.06025	634.68935625
ILMN_2675908	95.8401	122.41531875	109.595425625	154.66928125	102.415140625	121.735439375	111.234585625	173.61805	133.56350625	119.687909375	139.7600375	100.797211875	111.7404775	132.7850125	124.09359375	96.820976875
ILMN_2683528	1279.10915	1304.11341875	1197.1950625	1093.05636875	1220.88975625	1292.25568125	1433.597	1126.81623125	1244.2882125	1233.78420625	1410.221575	1426.63413125	1412.31079375	1385.99768125	1174.17459375	1284.59764375
ILMN_1237846	7184.1275	8355.2378125	6251.9165625	8729.9628125	6961.1408125	7504.3965	8729.9628125	7535.8325625	7411.148625	5592.9835	6927.53375	7790.514875	6666.436625	7935.557625	8420.7889375	8098.043625
ILMN_2732877	1733.5576875	1491.8528125	1426.63413125	976.8693625	1684.229	1544.4166875	1544.4166875	1065.40696875	1062.9545625	1577.917625	1058.70305625	1315.989225	1373.50971875	989.70889375	1122.48299375	1461.678875
ILMN_1240274	3041.47075	2907.421375	3104.4561875	3104.4561875	3007.439625	2916.3459375	2624.439625	3323.130125	3166.4545	3282.743375	2608.4428125	3526.0949375	3199.676125	2681.920625	2864.5063125	3508.3631875
ILMN_2762728	9671.8816875	10724.79525	11173.0176875	10574.6365	10443.30125	9890.1793125	10060.255125	11818.927875	10574.6365	11818.927875	10574.6365	10333.5746875	10060.255125	10127.8905625	10958.433125	10333.5746875
ILMN_1251220	181.98435	192.34130625	189.890575	201.62113125	182.32083125	203.0263	181.7425875	241.90995	229.88585625	183.9246375	217.3990625	188.50483125	190.9587625	212.56733125	239.0553	178.28668125
ILMN_1220232	156.2078125	147.05875	181.43729375	150.51230625	165.03119375	151.1479625	134.78813125	165.20645625	180.15525625	197.2252125	155.432225	125.36169375	145.898675	130.59743125	168.3561625	154.55408125
ILMN_2836607	7110.6441875	8285.4875	7504.3965	7460.845875	6627.1081875	7884.927125	9490.1536875	7984.2996875	8031.7658125	6520.82825	9413.28375	8907.919	7332.76175	10333.5746875	7630.668	6578.41025
ILMN_2676253	109.487064375	126.96625625	127.68379375	115.1817375	102.7052575	96.697644375	103.70723625	133.0385625	108.30596375	102.415140625	100.474668125	118.9281425	101.48536875	98.9641	126.15359375	117.7128925
ILMN_2896492	1058.70305625	1106.1448625	982.52008125	1006.592375	1117.5936875	1181.55914375	1098.48106875	962.9292375	1037.15800625	1040.3397625	1044.1645625	1109.27059375	1178.73895	943.18929375	1012.87120625	1149.6691
ILMN_3004151	474.47324375	466.434675	434.11775625	483.0917625	495.60464375	504.2750375	414.16425625	534.31181875	581.747025	435.13193125	526.3651125	457.93085	537.3564875	509.714725	576.2538625	425.43803125
ILMN_1231457	450.87916875	462.82	430.1853875	496.135925	473.52364375	452.3838625	522.96660625	442.89155	472.914975	513.72638125	469.40995625	421.34460625	481.47731875	545.7415125	515.71900625	410.47876875
ILMN_3126458	212.77806875	224.75283125	216.40799375	236.61770625	228.051775	206.3713125	227.67105	209.103475	222.42536875	224.75283125	243.336	190.9587625	191.631825	250.2519625	208.4504625	192.86455
